DATE,RAIN,T.MAX,T.MIN,T.MIN.G,WIND
1965-10-30,-0.021132544400330806,0.00017063451494053836,-0.00034282403508400675,0.8243771303354822,21.62
1965-10-31,1.6413068629011334,0.00017063451494053836,-0.00034282403508400675,0.30720947655120784,19.21
1965-11-01,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,0.7320257635882903,29.17
1965-11-02,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-0.4870122774746421,12.04
1965-11-03,-0.3933204714081213,0.00017063451494053836,-0.00034282403508400675,-1.2073529381027386,11.42
1965-11-04,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-0.9857096579094781,6.04
1965-11-05,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-0.6901852843184642,4.83
1965-11-06,-0.14519518673626097,0.00017063451494053836,-0.00034282403508400675,-0.5978339175712724,16.0
1965-11-07,0.9217435373527383,0.00017063451494053836,-0.00034282403508400675,0.19638783645457755,11.58
1965-11-08,-0.12038265826907497,0.00017063451494053836,-0.00034282403508400675,-0.20995817723306653,9.59
1965-11-09,-0.2444453006050051,0.00017063451494053836,-0.00034282403508400675,0.916728497082674,9.38
1965-11-10,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,0.8797879503837972,6.96
1965-11-11,0.1029300979355993,0.00017063451494053836,-0.00034282403508400675,0.5103824833950299,14.83
1965-11-12,-0.2940703575393772,0.00017063451494053836,-0.00034282403508400675,-0.22842845058250494,6.75
1965-11-13,0.9217435373527383,0.00017063451494053836,-0.00034282403508400675,0.30720947655120784,8.5
1965-11-14,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-0.41313118407688865,11.63
1965-11-15,2.311245131515156,0.00017063451494053836,-0.00034282403508400675,-1.7245205918870128,11.34
1965-11-16,12.484381803061432,0.00017063451494053836,-0.00034282403508400675,-0.5054825508240804,27.58
1965-11-17,5.884249230789946,0.00017063451494053836,-0.00034282403508400675,-0.5054825508240804,25.33
1965-11-18,4.271434880422853,0.00017063451494053836,-0.00034282403508400675,0.2333283831534543,15.92
1965-11-19,0.02849251253404125,0.00017063451494053836,-0.00034282403508400675,0.49191221004559155,9.75
1965-11-20,1.7653695052370635,0.00017063451494053836,-0.00034282403508400675,0.1040364697073857,15.75
1965-11-21,0.8473059519511803,0.00017063451494053836,-0.00034282403508400675,-0.5239528241735188,10.75
1965-11-22,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-1.7060503185375744,10.67
1965-11-23,0.9713685942871104,0.00017063451494053836,-0.00034282403508400675,-1.3181745781993688,20.0
1965-11-24,6.47974991400241,0.00017063451494053836,-0.00034282403508400675,-1.1334718447049852,7.46
1965-11-25,1.2691189358933428,0.00017063451494053836,-0.00034282403508400675,0.1040364697073857,13.75
1965-11-26,1.0458061796886684,0.00017063451494053836,-0.00034282403508400675,-1.3181745781993688,9.33
1965-11-27,-0.44294552834249334,0.00017063451494053836,-0.00034282403508400675,-0.6901852843184642,16.33
1965-11-28,0.2518052687387155,0.00017063451494053836,-0.00034282403508400675,-1.0965312980061084,9.5
1965-11-29,-0.4181329998753074,0.00017063451494053836,-0.00034282403508400675,-0.6901852843184642,20.33
1965-11-30,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-1.1150015713555466,19.38
1965-12-01,0.648805724213692,0.00017063451494053836,-0.00034282403508400675,-1.7060503185375744,9.96
1965-12-02,0.17736768333715747,0.00017063451494053836,-0.00034282403508400675,-0.0991365371364363,19.25
1965-12-03,-0.3188828860065632,0.00017063451494053836,-0.00034282403508400675,-0.3577203640285735,15.96
1965-12-04,0.40068043954183175,0.00017063451494053836,-0.00034282403508400675,-1.2073529381027386,6.46
1965-12-05,-0.04594507286751686,0.00017063451494053836,-0.00034282403508400675,-0.4870122774746421,15.63
1965-12-06,-0.44294552834249334,0.00017063451494053836,-0.00034282403508400675,-0.7086555576679026,18.63
1965-12-07,-0.021132544400330806,0.00017063451494053836,-0.00034282403508400675,-0.9118285645117247,11.0
1965-12-08,1.8149945621714354,0.00017063451494053836,-0.00034282403508400675,-0.727125831017341,13.46
1965-12-09,0.8224934234839943,0.00017063451494053836,-0.00034282403508400675,0.418031116647838,24.0
1965-12-10,-0.2196327721378191,0.00017063451494053836,-0.00034282403508400675,-0.3023095439802584,14.29
1965-12-11,0.574368138812134,0.00017063451494053836,-0.00034282403508400675,-0.634774464270149,11.54
1965-12-12,2.757870643924505,0.00017063451494053836,-0.00034282403508400675,-0.5978339175712724,8.92
1965-12-13,-0.26925782907219115,0.00017063451494053836,-0.00034282403508400675,-0.0991365371364363,14.29
1965-12-14,0.05330504100122731,0.00017063451494053836,-0.00034282403508400675,-1.0041799312589166,11.63
1965-12-15,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,0.8613176770343589,8.54
1965-12-16,0.4503054964762039,0.00017063451494053836,-0.00034282403508400675,-0.7825366510656561,8.21
1965-12-17,-0.26925782907219115,0.00017063451494053836,-0.00034282403508400675,-0.8010069244150944,17.92
1965-12-18,-0.26925782907219115,0.00017063451494053836,-0.00034282403508400675,-0.1176068104858747,7.5
1965-12-19,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-0.41313118407688865,11.71
1965-12-20,-0.44294552834249334,0.00017063451494053836,-0.00034282403508400675,-1.5213475850431908,8.96
1965-12-21,-0.44294552834249334,0.00017063451494053836,-0.00034282403508400675,-1.5582881317420674,9.42
1965-12-22,0.59918066727932,0.00017063451494053836,-0.00034282403508400675,-0.00678517038924446,9.38
1965-12-23,-0.2196327721378191,0.00017063451494053836,-0.00034282403508400675,-0.0991365371364363,11.04
1965-12-24,-0.07075760133470287,0.00017063451494053836,-0.00034282403508400675,0.17791756310513923,7.12
1965-12-25,-0.4677580568096794,0.00017063451494053836,-0.00034282403508400675,-0.5054825508240804,7.38
1965-12-26,-0.3933204714081213,0.00017063451494053836,-0.00034282403508400675,-1.9276935987308348,5.79
